caseid,weight,vote2020,biden_winner,pres_vote,birthyr,age,age9,gender,marstat,employ,faminc_new,pid3,pid7,presvote16post,inputzip,inputstate,educ7,hispanic,ethnicity,votereg,wave
149890582,0.763164263518716,I am sure I voted,Definitely the rightful winner,Joe Biden,1957,63,55 - 64,Female,Married,Homemaker,"$60,000 - $69,999",Democrat,Not very strong Democrat,Hillary Clinton,18960,Pennsylvania,High school diploma or the equivalent (GED),No,White,Yes,13
6675256,1.45790533530833,"I usually vote, but didn't this time",Definitely not the rightful winner,NA,1965,55,55 - 64,Male,Married,Full-time,"$80,000 - $99,999",Independent,Lean Republican,Donald Trump,23454,Virginia,Some college,No,White,Yes,13
196817155,1.23254003206547,I am sure I voted,Definitely the rightful winner,Someone else,1961,59,55 - 64,Male,Married,Retired,"$60,000 - $69,999",Independent,Independent,Donald Trump,54555,Wisconsin,High school diploma or the equivalent (GED),No,White,Yes,13
42602722,0.407273346069765,I am sure I voted,Probably the rightful winner,Someone else,1982,38,35 - 44,Male,Never married,Permanently disabled,"$10,000 - $19,999",Independent,Independent,Jill Stein,97302,Oregon,Some college,No,Other,Yes,13
134429995,0.923401983458576,I did not vote in the election this November,Definitely the rightful winner,NA,1965,55,55 - 64,Female,Domestic / civil partnership,Part-time,"$20,000 - $29,999",Democrat,Strong Democrat,Did not vote for President,14616,New York,Associate's degree,Yes,Hispanic/Latino/Chicano/a,Yes,13
384303052,0.914046585756097,I am sure I voted,Definitely the rightful winner,Joe Biden,1982,38,35 - 44,Male,Married,Full-time,"$120,000 - $149,999",Democrat,Strong Democrat,Hillary Clinton,43209,Ohio,Bachelor's degree,No,White,Yes,13
33468265,0.800605738938987,I am sure I voted,Probably the rightful winner,Someone else,1982,38,35 - 44,Male,Never married,Permanently disabled,Prefer not to say,Independent,Independent,Did not vote for President,19382,Pennsylvania,High school diploma or the equivalent (GED),No,White,Yes,13
206013760,1.27750265292321,I am sure I voted,Definitely not the rightful winner,Donald Trump,1979,41,35 - 44,Male,Married,Full-time,"$120,000 - $149,999",Independent,Lean Republican,Donald Trump,76028,Texas,Did not graduate from high school,No,White,Yes,13
181538071,0.980268912569663,I am sure I voted,Definitely the rightful winner,Joe Biden,1962,58,55 - 64,Female,Divorced,Permanently disabled,"$40,000 - $49,999",Democrat,Strong Democrat,Hillary Clinton,52806,Iowa,Associate's degree,No,White,Yes,13
145054429,0.460561023361017,I am sure I voted,Probably the rightful winner,Someone else,1981,39,35 - 44,Male,Domestic / civil partnership,Full-time,"$100,000 - $119,999",Independent,Independent,Gary Johnson,60193,Illinois,Bachelor's degree,No,White,Yes,13
177927424,1.06760143541427,I am sure I voted,Definitely not the rightful winner,Donald Trump,1995,25,25 - 34,Male,Never married,Full-time,"$30,000 - $39,999",Independent,Independent,Did not vote for President,15052,Pennsylvania,Associate's degree,No,Hispanic/Latino/Chicano/a,Yes,13
135403072,1.17989216228914,I am sure I voted,Probably not the rightful winner,Donald Trump,1974,46,45 - 54,Female,Married,Part-time,"$120,000 - $149,999",Republican,Strong Republican,Donald Trump,46748,Indiana,High school diploma or the equivalent (GED),No,White,Yes,13
180655828,0.685335076005517,I did not vote in the election this November,Definitely the rightful winner,NA,1982,38,35 - 44,Male,Never married,Part-time,"$10,000 - $19,999",Democrat,Not very strong Democrat,Hillary Clinton,63640,Missouri,High school diploma or the equivalent (GED),No,White,Yes,13
192315091,1.23254003206547,I did not vote in the election this November,Definitely not the rightful winner,NA,1967,53,45 - 54,Male,Married,Full-time,"$150,000 - $199,999",Republican,Strong Republican,Donald Trump,66611,Kansas,High school diploma or the equivalent (GED),No,White,Yes,13
55166818,1.07536363590763,I am sure I voted,Probably the rightful winner,Donald Trump,1961,59,55 - 64,Female,Married,Full-time,"$70,000 - $79,999",Independent,Independent,Hillary Clinton,32708,Florida,Some college,No,White,Yes,13
198168712,1.19440650281893,I am sure I voted,Definitely the rightful winner,Joe Biden,1993,27,25 - 34,Female,Never married,Unemployed,"$10,000 - $19,999",Democrat,Strong Democrat,Did not vote for President,29654,South Carolina,High school diploma or the equivalent (GED),No,White,Yes,13
168637360,1.37648420354904,I am sure I voted,Definitely not the rightful winner,Donald Trump,1986,34,25 - 34,Female,Married,Full-time,"$60,000 - $69,999",Republican,Strong Republican,Donald Trump,30096,Georgia,Bachelor's degree,No,White,Yes,13
159892894,0.905081334927035,I am sure I voted,Definitely the rightful winner,Joe Biden,1992,28,25 - 34,Male,Domestic / civil partnership,Full-time,"$10,000 - $19,999",Independent,Lean Democrat,Hillary Clinton,73110,Oklahoma,Some college,Yes,White,Yes,13
178985566,0.816887403830964,I am sure I voted,Definitely the rightful winner,Joe Biden,1958,62,55 - 64,Male,Married,Unemployed,Prefer not to say,Independent,Independent,Did not vote for President,28584,North Carolina,High school diploma or the equivalent (GED),No,White,Yes,13
359256436,0.797217352477054,I am sure I voted,Definitely the rightful winner,Joe Biden,1958,62,55 - 64,Male,Married,Retired,"$40,000 - $49,999",Democrat,Strong Democrat,Hillary Clinton,1810,Massachusetts,High school diploma or the equivalent (GED),No,White,Yes,13
144862777,0.323378521009973,I am sure I voted,Definitely the rightful winner,Someone else,1980,40,35 - 44,Male,Never married,Unemployed,"$60,000 - $69,999",Not sure,Independent,Jill Stein,92592,California,Some college,No,Black or African American,Yes,13
211448035,1.19440650281893,I did not vote in the election this November,Probably the rightful winner,NA,1992,28,25 - 34,Female,Domestic / civil partnership,Unemployed,"Less than $10,000",Not sure,Independent,Did not vote for President,29624,South Carolina,High school diploma or the equivalent (GED),No,White,No,13
